Timestamp,FPS,CPU_Usage,GPU_Usage,Triangle_Count,Has_Lighting,Has_Textures
174.0,22.9,48.2,72.9,175,true,true
175.0,22.3,48.8,73.5,175,true,true
176.0,21.8,49.5,74.2,175,true,true
177.0,19.2,51.8,77.8,200,true,true
178.0,18.7,52.5,78.5,200,true,true
179.0,18.1,53.2,79.2,200,true,true
180.0,15.9,55.5,82.9,225,true,true
181.0,15.3,56.2,83.5,225,true,true
182.0,14.8,56.9,84.2,225,true,true
183.0,12.9,59.2,87.8,250,true,true
184.0,12.3,59.9,88.5,250,true,true
185.0,11.8,60.6,89.2,250,true,true
186.0,9.9,62.9,92.9,275,true,true
187.0,9.3,63.6,93.5,275,true,true
188.0,8.8,64.3,94.2,275,true,true
189.0,6.9,66.6,97.8,300,true,true
190.0,6.3,67.3,98.5,300,true,true
191.0,5.8,68.0,99.2,300,true,true
192.0,3.9,70.3,100.0,325,true,true
193.0,3.3,71.0,100.0,325,true,true
194.0,2.8,71.7,100.0,325,true,true
195.0,0.9,73.0,100.0,350,true,true
196.0,0.3,73.7,100.0,350,true,true
197.0,0.8,74.4,100.0,350,true,true
198.0,0.1,76.7,100.0,375,true,true
199.0,0.5,77.4,100.0,375,true,true
200.0,0.2,78.1,100.0,375,true,true
201.0,0.1,80.4,100.0,400,true,true
202.0,0.3,81.1,100.0,400,true,true
203.0,0.1,81.8,100.0,400,true,true
